ID,NAME,VALUES IN ORDER,
1A,Consonant Inventories,"Small,Moderately small,Average,Moderately large,Large",
2A,Vowel Quality Inventories,"Small (2-4),Average (5-6),Large (7-14)",
3A,Consonant-Vowel Ratio,"Low,Moderately low,Average,Moderately high,High",
4A,Voicing in Plosives and Fricatives,"No voicing contrast,In plosives alone,In fricatives alone,In both plosives and fricatives",
5A,Voicing and Gaps in Plosive Systems,"Other,None missing in /p t k b d g/,Missing /p/,Missing /g/,Both missing",
6A,Uvular Consonants,"None,Uvular stops only,Uvular continuants only,Uvular stops and continuants",
7A,Glottalized Consonants,"No glottalized consonants,Ejectives only,Implosives only,Glottalized resonants only,Ejectives and implosives,Ejectives and glottalized resonants,Implosives and glottalized resonants,Ejectives implosives and glottalized resonants",
8A,Lateral Consonants,"No laterals,/l/ no obstruent laterals,Laterals but no /l/ no obstruent laterals,/l/ and lateral obstruent,No /l/ but lateral obstruents",
9A,The Velar Nasal,"Initial velar nasal,No initial velar nasal,No velar nasal",
10A,Vowel Nasalization,"Contrast present,Contrast absent",
10B,Nasal Vowels in West Africa,"no nasal vs. oral vowel contrast,two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading,two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading,four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading,four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading",
11A,Front Rounded Vowels,"None,High and mid,High only,Mid only",
12A,Syllable Structure,"Simple,Moderately complex,Complex",
13A,Tone,"No tones,Simple tone system,Complex tone system",
14A,Fixed Stress Locations,"No fixed stress,Initial,Second,Third,Antepenultimate,Penultimate,Ultimate",
15A,Weight-Sensitive Stress,"Left-edge: First or second,Left-oriented: One of the first three,Right-edge: Ultimate or penultimate,Right-oriented: One of the last three,Unbounded: Stress can be anywhere,Combined: Right-edge and unbounded,Not predictable,Fixed stress (no weight-sensitivity)",
16A,Weight Factors in Weight-Sensitive Stress Systems,"No weight,Long vowel,Coda consonant,Long vowel or coda consonant,Prominence,Lexical stress,Combined",
17A,Rhythm Types,"Trochaic,Iambic,Dual: both trochaic and iambic,Undetermined,No rhythmic stress",
18A,Absence of Common Consonants,"All present,No bilabials,No fricatives,No nasals,No bilabials or nasals,No fricatives or nasals",
19A,Presence of Uncommon Consonants,"None,Clicks,Labial-velars,Pharyngeals,'Th' sounds,Clicks pharyngeals and 'th',Pharyngeals and ""th""",
20A,Fusion of Selected Inflectional Formatives,"Exclusively concatenative,Exclusively isolating,Exclusively tonal,Tonal/isolating,Tonal/concatenative,Ablaut/concatenative,Isolating/concatenative",
21A,Exponence of Selected Inflectional Formatives,"Monoexponential case,Case + number,Case + referentiality,Case + TAM,No case",
21B,Exponence of Tense-Aspect-Mood Inflection,"monoexponential TAM,TAM+agreement,TAM+agreement+diathesis,TAM+agreement+construct,TAM+polarity,no TAM",
22A,Inflectional Synthesis of the Verb,"0-1 category per word,2-3 categories per word,4-5 categories per word,6-7 categories per word,8-9 categories per word,10-11 categories per word,12-13 categories per word",
23A,Locus of Marking in the Clause,"Head marking,Dependent marking,Double marking,No marking,Other",
24A,Locus of Marking in Possessive Noun Phrases,"Head marking,Dependent marking,Double marking,No marking,Other",
